Date,Open,High,Low,Close,Adj Close,Volume
2012-03-27,2698.000000,2938.000000,2452.550049,2825.250000,2762.699951,2227
2012-03-28,2769.100098,2850.000000,2720.000000,2732.550049,2672.052490,1321
2012-03-29,2721.000000,2843.000000,2678.100098,2764.500000,2703.295166,796
2012-03-30,2833.000000,2848.000000,2750.000000,2825.050049,2762.504395,1381
2012-04-02,2882.000000,2920.000000,2821.000000,2838.250000,2775.412598,889
2012-04-03,2857.899902,2860.000000,2807.000000,2812.350098,2759.809082,245
2012-04-04,2810.000000,2829.000000,2765.899902,2779.500000,2727.572754,724
2012-04-09,2785.000000,2785.000000,2750.000000,2767.149902,2715.453613,629
2012-04-10,2760.000000,3027.300049,2752.050049,2915.600098,2861.130371,2099
2012-04-11,2900.000000,3020.000000,2900.000000,2937.050049,2882.179688,2376
2012-04-12,2970.000000,3044.949951,2940.000000,3008.949951,2952.736328,3344
2012-04-13,3008.000000,3104.949951,2980.000000,3000.449951,2944.395020,3168
2012-04-16,3034.949951,3034.949951,2985.050049,3016.399902,2960.047119,1251
2012-04-17,3034.949951,3034.949951,2981.100098,3002.300049,2946.210693,816
2012-04-18,2947.000000,3025.000000,2947.000000,2989.449951,2933.600342,948
2012-04-19,3000.000000,3319.000000,2960.000000,3262.250000,3201.304443,32202
2012-04-20,3287.800049,3349.899902,2980.050049,3001.949951,2945.867188,47606
2012-04-23,2972.000000,3100.000000,2812.350098,2841.149902,2788.071289,15642
2012-04-24,2816.000000,2918.000000,2811.550049,2880.250000,2826.440918,5595
2012-04-25,2860.000000,2888.000000,2825.000000,2849.000000,2795.774902,790
2012-04-26,2855.000000,2859.600098,2740.000000,2767.550049,2715.846191,1765
2012-04-27,2750.000000,2850.500000,2711.399902,2736.399902,2685.278564,3108
2012-04-30,2734.000000,2784.850098,2725.000000,2746.199951,2694.895264,1433
2012-05-02,2744.000000,2759.800049,2708.000000,2718.199951,2667.418213,996
2012-05-03,2747.949951,2748.000000,2650.000000,2690.399902,2640.137451,893
2012-05-04,2710.000000,2775.000000,2553.100098,2575.500000,2527.383789,6879
2012-05-07,2532.000000,2565.000000,2480.050049,2531.500000,2484.206299,1990
2012-05-08,2550.000000,2550.000000,2502.000000,2516.899902,2469.879150,891
2012-05-09,2500.050049,2540.000000,2482.000000,2507.949951,2461.095459,1107
2012-05-10,2589.000000,2589.000000,2450.000000,2473.300049,2427.093506,556
2012-05-11,2485.050049,2559.949951,2440.000000,2471.699951,2425.523193,1199
2012-05-14,2456.000000,2509.000000,2376.000000,2383.899902,2339.363525,1481
2012-05-15,2313.000000,2470.000000,2278.000000,2401.050049,2356.192871,2481
2012-05-16,2352.000000,2497.000000,2278.000000,2434.350098,2388.871338,6102
2012-05-17,2430.000000,2498.800049,2430.000000,2463.699951,2417.672852,1829
2012-05-18,2450.000000,2520.199951,2439.000000,2463.750000,2417.721680,817
2012-05-21,2470.000000,2543.949951,2451.000000,2456.649902,2410.754639,509
2012-05-22,2465.000000,2514.000000,2465.000000,2499.449951,2452.755127,735
2012-05-23,2509.949951,2580.000000,2491.600098,2556.600098,2508.837158,2009
2012-05-24,2550.000000,2619.000000,2525.000000,2534.199951,2486.855957,376
2012-05-25,2525.199951,2697.000000,2525.199951,2640.149902,2590.825928,1277
2012-05-28,2699.000000,2724.000000,2615.000000,2715.750000,2665.014404,3271
2012-05-29,2678.050049,2790.000000,2678.000000,2750.199951,2698.820557,2215
2012-05-30,2707.000000,2749.800049,2635.000000,2719.350098,2668.546875,575
2012-05-31,2664.000000,2740.000000,2526.000000,2623.399902,2574.389160,3554
2012-06-01,2620.000000,2740.000000,2499.000000,2618.399902,2569.482910,2150
2012-06-04,2515.050049,2600.000000,2505.000000,2548.500000,2500.888916,1829
2012-06-05,2589.949951,2589.949951,2481.149902,2511.100098,2464.187256,557
2012-06-06,2544.949951,2544.949951,2476.000000,2506.000000,2459.182617,1092
2012-06-07,2529.000000,2575.000000,2503.500000,2533.750000,2486.414063,1399
2012-06-08,2515.000000,2600.000000,2510.000000,2585.699951,2537.393799,1377
2012-06-11,2575.000000,2600.000000,2546.000000,2571.250000,2523.213379,1020
2012-06-12,2560.000000,2599.000000,2507.000000,2567.050049,2519.092285,1402
2012-06-13,2574.000000,2574.000000,2525.250000,2544.550049,2497.012695,234
