Date,Open,High,Low,Close,Adj Close,Volume
2012-01-18,2045.000000,2045.000000,2004.099976,2018.599976,1293.052368,11533
2012-01-19,2020.099976,2034.800049,1980.199951,1990.300049,1274.924438,14201
2012-01-20,1992.050049,1998.849976,1960.000000,1967.400024,1260.255493,8349
2012-01-23,2000.000000,2000.000000,1933.000000,1939.949951,1242.671631,21696
2012-01-24,1942.000000,1970.000000,1931.150024,1964.900024,1258.653931,64283
2012-01-25,1970.000000,2009.000000,1945.300049,1958.599976,1254.618408,53170
2012-01-27,1990.000000,2017.000000,1965.000000,1969.949951,1261.888672,102940
2012-01-30,1970.000000,2000.000000,1930.000000,1940.699951,1243.152100,35469
2012-01-31,1945.000000,1987.699951,1930.000000,1984.599976,1271.273193,93305
2012-02-01,1984.650024,2122.050049,1981.000000,2090.100098,1338.853271,69892
2012-02-02,2125.000000,2125.000000,2040.000000,2097.149902,1343.369141,32870
2012-02-03,2085.000000,2120.000000,2055.600098,2099.050049,1344.586182,20220
2012-02-06,2097.000000,2207.949951,2085.449951,2160.449951,1383.916992,97341
2012-02-07,2175.000000,2198.000000,2125.250000,2144.800049,1373.892212,29287
2012-02-08,2150.000000,2190.000000,2150.000000,2177.800049,1395.031006,22154
2012-02-09,2180.000000,2190.000000,2135.000000,2149.899902,1377.159058,29975
2012-02-10,2120.000000,2179.000000,2120.000000,2155.050049,1380.458252,52968
2012-02-13,2157.000000,2269.000000,2157.000000,2204.500000,1412.134277,218680
2012-02-14,2210.000000,2215.000000,2182.000000,2200.449951,1409.539917,40936
2012-02-15,2201.949951,2208.000000,2191.300049,2201.399902,1410.148315,43626
2012-02-16,2200.949951,2213.000000,2180.000000,2203.399902,1411.429688,47797
2012-02-17,2208.850098,2210.000000,2150.000000,2171.449951,1390.963501,25498
2012-02-21,2180.000000,2239.000000,2150.000000,2204.949951,1412.422485,62137
2012-02-22,2229.899902,2239.000000,2089.000000,2120.649902,1358.422363,26518
2012-02-23,2120.600098,2230.000000,2113.250000,2214.199951,1418.347900,51864
2012-02-24,2240.000000,2614.899902,2240.000000,2583.899902,1655.166016,1660218
2012-02-27,2606.050049,2662.500000,2443.050049,2541.750000,1628.166382,837870
2012-02-28,2540.000000,2683.000000,2473.550049,2668.100098,1709.102051,588070
2012-02-29,2675.000000,2714.000000,2610.199951,2645.649902,1694.721191,208221
2012-03-01,2640.000000,2728.000000,2574.350098,2684.199951,1719.415283,260280
2012-03-02,2693.000000,2718.000000,2585.050049,2601.649902,1666.536133,89084
2012-03-03,null,null,null,null,null,null
2012-03-05,2666.649902,2718.000000,2520.000000,2539.100098,1626.468506,128956
2012-03-06,2599.000000,2599.000000,2482.399902,2504.199951,1604.112793,69585
2012-03-07,2490.000000,2529.899902,2470.449951,2499.899902,1601.358154,50788
2012-03-09,2525.000000,2600.000000,2520.000000,2575.399902,1649.721191,74161
2012-03-12,2585.000000,2603.899902,2530.949951,2546.550049,1631.240967,27322
2012-03-13,2542.300049,2599.449951,2501.100098,2515.449951,1611.319336,39758
2012-03-14,2550.000000,2559.899902,2512.000000,2519.550049,1613.945435,20240
2012-03-15,2529.750000,2564.750000,2496.300049,2512.600098,1609.493530,39018
2012-03-16,2531.000000,2537.000000,2465.000000,2471.949951,1583.454346,26126
2012-03-19,2490.000000,2518.000000,2443.350098,2492.649902,1596.713989,74139
2012-03-20,2500.000000,2665.000000,2485.000000,2617.949951,1676.977539,263262
2012-03-21,2651.000000,2651.000000,2571.350098,2587.750000,1657.632202,87572
2012-03-22,2534.000000,2659.000000,2325.550049,2542.149902,1628.422485,95889
2012-03-23,2550.000000,2625.000000,2504.399902,2602.649902,1667.176514,67511
2012-03-26,2615.000000,2615.000000,2555.000000,2568.949951,1645.589722,63579
2012-03-27,2589.949951,2600.000000,2560.100098,2576.350098,1650.329834,18494
2012-03-28,2586.949951,2629.000000,2561.300049,2584.600098,1655.614624,45394
2012-03-29,2592.000000,2624.750000,2569.000000,2594.550049,1661.988281,51881
2012-03-30,2604.250000,2669.350098,2596.750000,2620.300049,1678.482788,74404
2012-04-02,2633.800049,2650.000000,2602.199951,2616.149902,1675.824341,14854
2012-04-03,2619.500000,2650.000000,2619.500000,2637.149902,1689.276123,18058
2012-04-04,2636.000000,2647.000000,2610.000000,2616.550049,1676.080688,8877
2012-04-09,2595.550049,2678.000000,2565.000000,2634.699951,1687.707031,42225
2012-04-10,2644.100098,2663.750000,2620.149902,2643.600098,1693.408081,23428
2012-04-11,2618.550049,2725.000000,2618.550049,2639.949951,1691.069824,60238
2012-04-12,2639.949951,2762.800049,2639.949951,2749.300049,1761.116333,136682
2012-04-13,2701.149902,2747.949951,2615.600098,2640.399902,1691.358398,86024
2012-04-16,2649.949951,2690.100098,2608.300049,2661.350098,1704.778320,77373
2012-04-17,2670.000000,2722.500000,2640.000000,2708.250000,1734.820923,44824
2012-04-18,2701.000000,2738.800049,2669.500000,2674.550049,1713.234009,24618
2012-04-19,2679.000000,2699.000000,2650.000000,2668.149902,1709.134155,16481
2012-04-20,2654.800049,2715.000000,2641.250000,2661.199951,1704.682251,26680
2012-04-23,2667.000000,2680.000000,2574.949951,2599.899902,1665.415283,228143
2012-04-24,2610.350098,2634.000000,2572.000000,2597.050049,1663.589478,15677
2012-04-25,2609.000000,2616.000000,2559.899902,2574.300049,1649.016602,13344
2012-04-26,2585.000000,2629.000000,2505.000000,2537.149902,1625.219482,363365
2012-04-27,2540.000000,2599.649902,2538.100098,2581.750000,1653.788818,40750
2012-04-30,2583.000000,2634.000000,2552.100098,2619.949951,1678.258545,25217
2012-05-02,2625.000000,2648.899902,2569.649902,2592.800049,1660.867188,26330
2012-05-03,2589.949951,2604.899902,2542.000000,2558.699951,1639.023804,11467
2012-05-04,2549.949951,2589.800049,2500.000000,2515.500000,1611.351074,22951
2012-05-07,2516.000000,2625.000000,2450.000000,2608.149902,1670.699829,43027
2012-05-08,2580.000000,2615.000000,2562.000000,2589.149902,1658.528809,135600
2012-05-09,2588.949951,2589.699951,2550.000000,2573.949951,1648.792480,8005
2012-05-10,2575.500000,2598.750000,2543.949951,2558.250000,1638.735596,11000
2012-05-11,2552.949951,2585.000000,2550.000000,2569.100098,1645.685791,38076
2012-05-14,2570.000000,2570.000000,2438.149902,2490.649902,1595.432983,122522
2012-05-15,2498.000000,2500.000000,2453.199951,2465.550049,1579.354736,13077
2012-05-16,2453.199951,2495.699951,2441.000000,2479.550049,1588.322632,44644
2012-05-17,2498.449951,2503.000000,2442.399902,2453.100098,1571.379761,14301
2012-05-18,2439.850098,2486.649902,2380.000000,2397.300049,1535.635864,61447
2012-05-21,2389.949951,2408.899902,2353.000000,2367.199951,1516.354858,33551
2012-05-22,2392.850098,2449.000000,2385.000000,2418.000000,1548.895630,27122
2012-05-23,2448.649902,2450.000000,2420.100098,2442.050049,1564.301392,11896
2012-05-24,2442.000000,2449.000000,2413.000000,2424.500000,1553.059326,6834
2012-05-25,2405.149902,2448.000000,2380.000000,2430.300049,1556.774658,17076
2012-05-28,2424.850098,2536.000000,2422.100098,2525.250000,1617.596680,29163
2012-05-29,2598.399902,2598.399902,2480.000000,2492.649902,1596.713989,15335
2012-05-30,2477.000000,2486.000000,2413.050049,2446.600098,1567.216064,20488
2012-05-31,2445.000000,2526.000000,2393.649902,2503.449951,1603.632202,48893
2012-06-01,2500.000000,2519.750000,2410.600098,2447.399902,1567.728516,28146
2012-06-04,2436.850098,2463.050049,2400.050049,2418.500000,1549.215942,24936
2012-06-05,2415.399902,2450.050049,2393.100098,2399.050049,1536.756836,16829
2012-06-06,2430.000000,2447.899902,2406.750000,2421.300049,1551.009644,43968
2012-06-07,2432.500000,2484.600098,2409.250000,2464.000000,1578.361694,20365
2012-06-08,2474.949951,2562.600098,2421.350098,2524.000000,1616.796021,68966
2012-06-11,2524.000000,2554.449951,2475.000000,2484.000000,1591.173096,22547
2012-06-12,2484.000000,2494.899902,2455.000000,2474.800049,1585.280029,9541
2012-06-13,2460.100098,2499.699951,2460.100098,2472.149902,1583.582397,19153
2012-06-14,2465.050049,2486.899902,2391.050049,2417.649902,1548.671509,27702
2012-06-15,2427.300049,2447.000000,2412.000000,2419.600098,1549.920532,8961
2012-06-18,2445.250000,2450.000000,2384.000000,2399.050049,1536.756836,16729
2012-06-19,2450.000000,2519.000000,2420.000000,2435.300049,1559.977661,23575
2012-06-20,2455.500000,2476.000000,2425.000000,2428.899902,1555.877686,28645
2012-06-21,2439.000000,2442.000000,2425.000000,2438.899902,1562.283691,16775
2012-06-22,2380.000000,2440.000000,2380.000000,2427.500000,1554.980957,9178
2012-06-25,2416.800049,2465.399902,2414.050049,2424.800049,1553.251465,7986
2012-06-26,2425.100098,2443.500000,2401.149902,2436.100098,1560.490112,12761
2012-06-27,2441.000000,2455.000000,2420.000000,2425.899902,1553.956177,6627
2012-06-28,2434.000000,2439.149902,2401.350098,2422.350098,1551.682129,16808
2012-06-29,2448.000000,2649.000000,2430.100098,2537.199951,1625.251343,161538
2012-07-02,2585.100098,2620.000000,2550.000000,2562.100098,1641.201904,77843
2012-07-03,2565.000000,2568.949951,2527.100098,2535.300049,1624.034546,24830
2012-07-04,2549.800049,2562.000000,2501.199951,2506.649902,1605.682129,18133
2012-07-05,2519.899902,2588.000000,2504.250000,2556.800049,1637.806641,30864
2012-07-06,2561.000000,2565.000000,2525.250000,2535.800049,1624.354736,11693
2012-07-09,2539.699951,2540.000000,2500.350098,2505.899902,1605.201660,8817
2012-07-10,2508.000000,2545.000000,2500.000000,2512.199951,1609.237305,10065
2012-07-11,2511.649902,2529.899902,2490.000000,2492.699951,1596.746216,15292
2012-07-12,2475.050049,2499.800049,2461.300049,2472.449951,1583.774780,7949
2012-07-13,2460.000000,2529.750000,2450.000000,2510.199951,1607.956177,214666
2012-07-16,2482.000000,2526.949951,2426.000000,2470.199951,1582.333496,10746
2012-07-17,2489.500000,2500.000000,2457.000000,2488.850098,1594.280151,71938
2012-07-18,2499.050049,2548.000000,2475.000000,2513.250000,1609.909912,191192
2012-07-19,2524.000000,2570.050049,2506.000000,2520.000000,1614.233643,47265
2012-07-20,2523.899902,2555.000000,2490.000000,2541.449951,1627.973877,19284
2012-07-23,2505.149902,2539.000000,2479.750000,2515.300049,1611.223022,11612
2012-07-24,2500.199951,2566.949951,2500.199951,2552.100098,1634.796021,20539
2012-07-25,2526.600098,2559.949951,2516.250000,2540.100098,1627.109009,15119
2012-07-26,2530.649902,2565.000000,2456.000000,2490.199951,1595.144775,74750
2012-07-27,2515.300049,2550.000000,2476.000000,2488.399902,1593.991699,13984
2012-07-30,2488.399902,2532.000000,2488.399902,2519.750000,1614.073608,44757
2012-07-31,2520.949951,2562.100098,2490.050049,2554.300049,1636.205200,17588
2012-08-01,2570.000000,2620.000000,2534.000000,2595.649902,1662.692627,106681
2012-08-02,2600.100098,2641.000000,2556.300049,2627.550049,1683.126953,85917
2012-08-03,2660.399902,2844.850098,2645.000000,2781.000000,1781.422241,599906
2012-08-06,2799.000000,2904.000000,2771.850098,2849.949951,1825.589111,291113
2012-08-07,2840.149902,3020.500000,2818.000000,2861.750000,1833.148193,291605
2012-08-08,2874.850098,2950.000000,2575.050049,2853.050049,1827.575195,164117
2012-08-09,2850.199951,2922.000000,2711.149902,2774.399902,1777.194458,134782
2012-08-10,2774.399902,2875.000000,2774.399902,2853.649902,1827.959351,98670
2012-08-13,2865.000000,2890.000000,2840.000000,2871.899902,1839.649902,62426
2012-08-14,2879.949951,2973.600098,2872.000000,2938.199951,1882.119751,208034
2012-08-16,2956.350098,2994.750000,2938.000000,2964.350098,1898.870728,94816
2012-08-17,2965.149902,2987.899902,2880.000000,2906.750000,1861.973755,70101
